"LastParentPath","LastParentFolderID","OriginalFolderExists","Identity","MailboxIdentity","ItemClass","Subject","PolicyTag","EntryID","SourceFolder","LastModifiedTime","IsValid","ObjectState"
"Rascunhos","875760F2B83D5E4A916DAA94A20F200400000000010F","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","CARE - AI e ECTS",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D90900A60000","Recoverable Items\Deletions","03/05/2024 15:43:08","True","New"
"Rascunhos","875760F2B83D5E4A916DAA94A20F200400000000010F","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Relatório Anual",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D90900A50000","Recoverable Items\Deletions","03/05/2024 00:00:54","True","New"
"Rascunhos","875760F2B83D5E4A916DAA94A20F200400000000010F","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","RE: DFs ",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D90900A40000","Recoverable Items\Deletions","03/04/2024 21:14:34","True","New"
"Rascunhos","875760F2B83D5E4A916DAA94A20F200400000000010F","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","DFs - EVE",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D84397620000","Recoverable Items\Deletions","03/04/2024 04:47:00","True","New"
"Rascunhos","875760F2B83D5E4A916DAA94A20F200400000000010F","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","RE: Mauro R da Cunha",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D84397610000","Recoverable Items\Deletions","03/03/2024 18:34:27","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Global Index Volatility Chartbook: September 15, 2023",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C530000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Global Index Volatility Chartbook: September 08, 2023",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C520000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Global Index Volatility Chartbook: September 01, 2023",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C510000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Equity Futures Quarterly Roll Update: Sep-23 / Dec-23 Roll",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C500000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value : 09 June 2023",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4F0000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value : 25 May 2023",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4E0000","Recoverable Items\Deletions","02/23/2024 23:07:06","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Global Index Volatility Chartbook: February 15, 2024",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4D0000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4C0000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4B0000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C4A0000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C490000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
"Caixa de Entrada","875760F2B83D5E4A916DAA94A20F200400000000010C","True","mauro.cunha@embraer.com.br","1b5ba8a2-315d-45ce-959a-42b748c01de7\a65c5406-1544-4463-bd74-f57a45c32fbe","IPM.Note","Asia Pacific Index Futures Fair Value",,"00000000799D5F81B500B0458176EAA62A24E3C10700875760F2B83D5E4A916DAA94A20F2004000000442C370000875760F2B83D5E4A916DAA94A20F20040000D1777C480000","Recoverable Items\Deletions","02/23/2024 23:06:58","True","New"
